Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
80,+5,Ruth B. ,Dandelions,80,34,,10108305,-368336.0,748909966
81,-28,The Kid LAROI ,Love Again,4,25,,10094226,-3272426.0,55824287
82,-4,King ,Maan Meri Jaan,14,40,,10067419,-678126.0,169690979
83,+6,The Weeknd ,I Was Never There,38,17,,10047381,-159837.0,368073236
84,-8,Sabrina Carpenter ,Nonsense,6,17,,9983875,-846724.0,80037867
85,-38,Lazza ,CENERE,2,47,,9921918,-4492738.0,24336574
86,-5,Bruno Mars ,When I Was Your Man,71,72,,9874628,-752746.0,258875336
87,NEW,Lizzy McAlpine ,ceilings,1,87,,9862074,,9862074
88,-5,SZA ,Low,11,29,,9826275,-697709.0,128926758
89,-56,Linkin Park ,Lost,2,33,,9775477,-5882902.0,25433856
90,+3,Ed Sheeran ,Perfect,310,4,,9748403,-326247.0,2301558882
91,+11,J. Cole ,No Role Modelz,166,64,,9726091,168214.0,773592472
92,-5,Lady Gaga ,Bloody Mary,13,31,,9604941,-652304.0,177110165
93,-23,Rihanna ,Love On The Brain,38,68,,9579335,-2187032.0,165068501
94,+6,Arctic Monkeys ,505,60,43,,9570274,-62818.0,553510433
95,-9,Taylor Swift ,Lavender Haze,18,2,1,9547881,-850973.0,297512257
96,-8,ThxSoMch ,SPIT IN MY FACE!,15,67,,9505302,-750725.0,137409756
97,NEW,Lana Del Rey ,A&W,1,97,,9466245,,9466245
98,+26,Feid ,Normal,29,57,,9453935,529712.0,230701388
99,+8,Eminem ,Without Me,87,31,,9450373,-24247.0,628174551
100,+13,New West ,Those Eyes,8,97,,9442361,147625.0,68102543
101,+10,The Weeknd ,Save Your Tears,116,2,4,9425092,102199.0,1283107739
102,-11,Harry Styles ,Late Night Talking,40,2,1,9414660,-720609.0,572003040
103,+5,INTERWORLD ,METAMORPHOSIS,10,96,,9409316,-61001.0,88342112
104,-7,Zé Felipe ,Facilita Aí,2,97,,9354168,-508940.0,19217276
105,+4,Billie Eilish ,lovely,253,24,,9299731,-158269.0,2089105993
106,-32,Rihanna ,Lift Me Up,17,11,,9243391,-1957365.0,202289046
107,-13,Cris Mj ,Marisola,9,72,,9243131,-658464.0,87511619
108,+25,Fuerza Regida ,Ch y la Pizza,5,108,,9203185,614193.0,40006128
109,+1,Coldplay ,Viva La Vida,30,98,,9199177,-138394.0,215698967
110,-20,Sachin,Jigar,2,90,,9155522,-1000971.0,19312015
111,-7,Quevedo ,PLAYA DEL INGLÉS,10,71,,9060105,-425923.0,88896893
112,+11,Harry Styles ,Watermelon Sugar,171,4,,9037505,110489.0,2091949036
113,+4,Israel & Rodolffo ,Bombonzinho,15,80,,9036170,-32344.0,128069012
114,+13,KAROL G ,PROVENZA,44,6,,9026567,224063.0,691040730
115,+1,Coldplay ,Yellow,114,56,,9000228,-121739.0,792174162
